ticker;date;ALTMAN_Z_SCORE;BB_1YR_DEFAULT_PROB;BEST_ANALYST_RATING;BEST_DPS;BEST_EV;BEST_NET_INCOME;BOOK_VAL_PER_SH;BS_ACCOUNTS_PAYABLE_AND_ACCRUALS;BS_CUR_ASSET_REPORT;BS_CUR_LIAB;BS_INVENTORIES;BS_LT_BORROW;BS_NET_FIX_ASSET;BS_SH_OUT;BS_ST_BORROW;BS_TOT_ASSET;CAPITAL_EXPEND;CASH_AND_MARKETABLE_SECURITIES;CASH_TO_TOT_ASSET;CF_CASH_FROM_OPER;CF_FREE_CASH_FLOW;CUR_MKT_CAP;CUR_RATIO;EARN_FOR_COMMON;EARN_YLD_HIST;EBIT;EBITDA;EBITDA_TO_NET_INTEREST;EQY_DPS;FCF_TO_TOTAL_DEBT;IS_EPS;IS_INTEREST_EXPENSE;IS_INT_EXPENSE;IS_OPER_INC;IS_OPER_INC_1;LT_DEBT_TO_TOT_ASSET;NET_DEBT;NET_INCOME;OTHER_CURRENT_LIABS_DETAILED;SALES_REV_TURN;SALES_TO_TOT_ASSET;ST_CAPITAL_LEASE_OBLIGATIONS;TOTAL_EQUITY;TOT_COMMON_EQY;TOT_DEBT_TO_EBITDA;TOT_DEBT_TO_TOT_ASSET;TRAIL_12M_NET_INC;TRAIL_12M_NET_SALES;px_last;WACC;WORKING_CAPITAL;RTG_SP_LT_LC_ISSUER_CREDIT;RTG_SP_OUTLOOK
ABBN SW Equity;31/12/1999;;;4.333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.6262;;;AA-;
ABBN SW Equity;31/03/2000;;0.000712491;4.429;;;;;;;;;;;;;;;;;;;57300.3847;;;;;;;;;;;;;;;;;;;;;;;;;;;37.8824;;;AA-;
ABBN SW Equity;30/06/2000;;0.000388861;4.556;;;;;;;;;;;;;;;;;;;58575.3933;;;;;;;;;;;;;;;;;;;;;;;;;;;38.7253;;;AA-;
ABBN SW Equity;29/09/2000;;0.000491259;4.364;;;;;;;;;;;;;;;;;;;50400.3384;;;;;;;;;;;;;;;;;;;;;;;;;;;33.3206;;;AA-;
ABBN SW Equity;29/12/2000;;0.000389469;3.733;;;;;;;;;;;;;;;;;;;51825.3479;;;;;;;;;;;;;;;;;;;;;;;;;;;34.2627;;;AA-;
ABBN SW Equity;30/03/2001;0.7159;0.001051677;3.235;;;;;;;;;;;;;;;;;;;37279.4925;;;;;;;;;;;;;;;;;;;;;;;;;;;24.9905;;;AA- *-;
ABBN SW Equity;31/03/2001;;;;;;;2.6241;;20156;18409;3485;3985;3045;1487.3667;5500;32384;-189;5641;5.7436;-217;-406;;1.0949;138;;334;524;13.7895;;;0.0932;180;180;334;334;12.3055;3844;138;9453;5380;0.1661;;4195;3903;;29.2892;;;;5.943;1747;;
ABBN SW Equity;29/06/2001;;0.003680693;2.909;;;;;;;;;;;;;;;;;;;32190.5459;;;;;;;;;;;;;;;;;;;;;;;;;;;21.5791;;;AA- *-;
ABBN SW Equity;28/09/2001;;0.020277418;2.714;;;;;;;;;;;;;;;;;;;13641.6935;;;;;;;;;;;;;;;;;;;;;;;;;;;9.2028;;;AA- *-;
ABBN SW Equity;31/12/2001;1.0113;0.01510351;2.897;;;;1.4076;;22660;20166;2568;5003;2753;1403.0822;4701;32305;;5366;7.5592;;;18816.1289;1.1237;;;;;;;;;;;;;15.4868;4338;;12959;;;;2190;1975;;30.0387;;;12.6936;;2494;AA- *-;
ABBN SW Equity;29/03/2002;0.2618;0.021442378;3.061;;;;;;;;;;;;;;;;;;;14860.3263;;;;;;;;;;;;;;;;;;;;;;;;;;;10.5912;;;BBB- *-;
