rating;code
NR;0
AAA;1
AAA*-;2
AA+*+;3
AA+;4
AA+*-;5
AA*+;6
AA;7
AA*-;8
AA-*+;9
AA-;10
AA-*-;11
A+*+;12
A+;13
A+*-;14
A*+;15
A;16
A*-;17
A-*+;18
A-;19
A-*-;20
BBB+*+;21
BBB+;22
BBB+*-;23
BBB*+;24
BBB;25
BBB*-;26
BBB-*+;27
BBB-;28
BBB-*-;29
BB+*+;30
BB+;31
BB+*-;32
BB*+;33
BB;34
BB*-;35
BB-*+;36
BB-;37
BB-*-;38
B+*+;39
B+;40
B+*-;41
B*+;42
B;43
B*-;44
B-*+;45
B-;46
B-*-;47
CCC+*+;48
CCC+;49
CCC+*-;50
CCC*+;51
CCC;52
CCC*-;53
CCC-*+;54
CCC-;55
CCC-*-;56
CC+*+;57
CC+;58
CC+*-;59
CC*+;60
CC;61
CC*-;62
CC-*+;63
CC-;64
CC-*-;65
C+*+;66
C+;67
C+*-;68
C*+;69
C;70
C*-;71
C-*+;72
C-;73
C-*-;74
D*+;75
D;76
