date,ticker,ALTMAN_Z_SCORE,ARD_COST_OF_GOODS_SOLD,BOOK_VAL_PER_SH,BS_ACCOUNTS_PAYABLE_AND_ACCRUALS,BS_ACCT_NOTE_RCV,BS_CASH_NEAR_CASH_ITEM,BS_CUR_ASSET_REPORT,BS_CUR_LIAB,BS_INVENTORIES,BS_LT_BORROW,BS_MKT_SEC_OTHER_ST_INVEST,BS_NET_FIX_ASSET,BS_SH_OUT,BS_ST_BORROW,BS_TOTAL_LIABILITIES,BS_TOT_ASSET,CAPITAL_EXPEND,CASH_AND_MARKETABLE_SECURITIES,CF_CASH_FROM_OPER,CF_FREE_CASH_FLOW,EARN_YLD,EBIT,EBITDA,IS_AVG_NUM_SH_FOR_EPS,APPLIED_BETA,BB_1YR_DEFAULT_PROB,BEST_ANALYST_RATING,BS_TOTAL_CAPITAL_LEASES,CUR_MKT_CAP,EQY_DPS,EQY_DVD_YLD_IND,IS_EPS,IS_INT_EXPENSE,IS_INT_INC,IS_OPER_INC,NET_DEBT,NET_INCOME,OTHER_CURRENT_LIABS_DETAILED,PX_LAST,SALES_REV_TURN,TOTAL_EQUITY,TOT_COMMON_EQY,VOLATILITY_360D,WACC,WACC_NOPAT,WACC_RETURN_ON_INV_CAPITAL,WORKING_CAPITAL,5Y_MID_CDS_SPREAD,RSK_BB_ISSUER_DEFAULT,RTG_FITCH_LT_ISSUER_DEFAULT,RTG_FITCH_LT_ISSUER_DFLT_RTG_DT,RTG_FITCH_OUTLOOK,RTG_FITCH_OUTLOOK_DT,RTG_MDY_OUTLOOK,RTG_MOODY_LONG_TERM,RTG_MOODY_LONG_TERM_DATE,RTG_SP_LT_LC_ISSUER_CREDIT,RTG_SP_LT_LC_ISS_CRED_RTG_DT,RTG_SP_OUTLOOK,RTG_SP_OUTLOOK_DT
1999-12-31,EIG LN Equity,,,,,,,,,,,,,,,,,,,,,,,,,,4.6614e-05,3.0,,373.5242,,2.9493,,,,,,,,80.104,,,,22.71,,,,,,DS2,,,,,,,,,,,
1999-12-31,EKTAB SS Equity,,,,,,,,,,,,,,,,,,,,,,,,,,0.034856969,,,278.1824,,,,,,,,,,2.425,,,,68.369,,,,,,IG6,,,,,,,,,,,
1999-12-31,EL FP Equity,,,,,,,,,,,,,,,,,,,,,,,,,,5.2177e-05,4.667,,3151.8756,,1.4552,,,,,,,,15.4,,,,40.641,,,,,,IG3,,,,,,,,,,,
1999-12-31,ELE SM EQUITY,,,8.7996,,,,6403.0327,9904.8838,,18550.6834,,30815.7597,1058.752,0.0,,49717.915,,,,,6.5105,505.5233,,1058.752,,0.000395879,4.375,,18819.2654,,2.8053,0.3616,208.1125,,505.5233,,382.8808,,19.71,2475.2022,13579.0992,9316.5411,29.323,,,,-3501.8511,,IG4,AA-,1999-09-08,,,,,,A+,1999-08-23,,
1999-12-31,ELI BB Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IG8,,,,,,,,,,,
1999-12-31,ELIOR FP Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HY1,,,,,,,,,,,
1999-12-31,ELIS FP Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.7221,HY1,,,,,,,,,,,
1999-12-31,ELISA FH Equity,,,5.4746,,163.159,42.097,469.766,357.904,30.392,273.574,206.299,582.586,84.315,97.035,,1413.0811,,248.396,,,2.996,137.214,,84.315,,0.000323274,,111.494,3140.7338,,,0.731,,,137.214,122.213,61.608,134.577,37.25,313.808,736.579,461.592,,,,,111.862,,IG1,,,,,,,,,,,
1999-12-31,ELM LN Equity,,,,,,,,,,,,,,,,,,,,,,,,,,0.000509121,5.0,,577.99,,6.2112,,,,,,,,73.67,,,,42.487,,,,,,HY3,,,,,,,,,,,
1999-12-31,ELUXB SS Equity,,,70.4014,,21513.0,4971.0,53593.0,32822.0,16171.0,12545.0,5341.0,20894.0,366.2,10895.0,,81644.0,-1172.0,10312.0,1910.0,738.0,11.0847,1564.0,2518.0,366.2,,0.000101431,3.5,,78310.2914,,2.9165,2.87,1425.0,,1564.0,13128.0,1051.0,10795.0,102.862,28406.0,26606.0,25781.0,45.602,,,,20771.0,26.0655,IG6,BBB+,1999-07-08,,,,,,BBB+,1997-12-22,,
